current_stem	target_stem	date	slug	confidence	notes
2026-05-26_communications_equipment_near_al_assi	2026-05-26_communications_equipment_at_al_assi	2026-05-26	communications_equipment_at_al_assi	high	title/location readable
2026-05-26_merkava_tank_near_rashaf	2026-05-26_merkava_tank_in_rashaf	2026-05-26	merkava_tank_in_rashaf	high	title/location readable
2026-05-27_0_aul_5	2026-05-27_enemy_vehicle_in_northern_settlement	2026-05-27	enemy_vehicle_in_northern_settlement	low	title says enemy vehicle; settlement name unreadable
2026-05-27_strike_near_jal_al_alam	2026-05-27_iron_technical_platform_at_jal_al_alam	2026-05-27	iron_technical_platform_at_jal_al_alam	medium	title readable; place inferred from filename/subtitle
2026-05-27_strike_on_merkava_tank	2026-05-27_merkava_tank_on_military_route	2026-05-27	merkava_tank_on_military_route	medium	title readable; detailed location too small
2026-05-28_strike_near_khiam	2026-05-28_iron_technical_platform_at_al_raheb	2026-05-28	iron_technical_platform_at_al_raheb	medium	title mostly readable; filename differs from visible place
2026-05-29_namer_apc_ainata	2026-05-29_namer_apc_in_ainata	2026-05-29	namer_apc_in_ainata	high	title/location readable
2026-05-29_soldier_misgav_am	2026-05-29_soldier_at_misgav_am	2026-05-29	soldier_at_misgav_am	high	title/location readable
2026-05-30_strike_on_merkava_tank	2026-05-30_merkava_tank_in_border_area	2026-05-30	merkava_tank_in_border_area	low	title readable; location line unreadable
2026-05-31_strike_on_humvee	2026-05-31_humvee_vehicle_at_al_assi	2026-05-31	humvee_vehicle_at_al_assi	medium	title readable; location appears al_assi but small
2026-05-31_strike_on_namer_apc	2026-05-31_namer_vehicle_and_apc_in_dibel	2026-05-31	namer_vehicle_and_apc_in_dibel	high	title/location readable
2026-05-31_strike_on_soldiers	2026-05-31_soldiers_gathering_near_border_site	2026-05-31	soldiers_gathering_near_border_site	low	title readable; location line unreadable
2026-06-01_merkava_tank_near_yahmor_al_shqif	2026-06-01_merkava_tank_near_yahmor_al_shqif	2026-06-01	merkava_tank_near_yahmor_al_shqif	high	title/location readable
2026-06-01_soldiers_near_yahmor	2026-06-01_soldiers_near_yahmor_al_shqif	2026-06-01	soldiers_near_yahmor_al_shqif	high	title/location readable
2026-06-01_soldiers_near_yahmor_02	2026-06-01_soldiers_near_yahmor_al_shqif_02	2026-06-01	soldiers_near_yahmor_al_shqif_02	high	duplicate-looking title card; kept _02 for uniqueness
2026-06-02_namer_apc_near_yahmor_al_shqif	2026-06-02_namer_vehicle_near_yahmor_al_shqif	2026-06-02	namer_vehicle_near_yahmor_al_shqif	high	title/location readable
2026-06-02_strike_on_merkava_tank	2026-06-02_merkava_tank_near_yahmor_al_shqif	2026-06-02	merkava_tank_near_yahmor_al_shqif	high	title/location readable
2026-06-02_strike_on_namer_apc	2026-06-02_soldiers_and_namer_vehicle_near_yahmor_al_shqif	2026-06-02	soldiers_and_namer_vehicle_near_yahmor_al_shqif	high	title/location readable
2026-06-02_targeting_israeli_soldiers_eastern_outskirts_zawtar_al_sharqiyah	2026-06-02_targeting_israeli_soldiers_eastern_outskirts_zawtar_al_sharqiyah	2026-06-02	targeting_israeli_soldiers_eastern_outskirts_zawtar_al_sharqiyah	high	visible title/location matches current filename
2026-06-03_humvee_zawtar_al_sharqiyah	2026-06-03_humvee_zawtar_al_sharqiyah	2026-06-03	humvee_zawtar_al_sharqiyah	high	visible title says military Humvee in Zawtar al-Sharqiyah
2026-06-03_m113_apc_beaufort_castle	2026-06-03_m113_apc_beaufort_castle	2026-06-03	m113_apc_beaufort_castle	medium	visible title says troop carrier near Beaufort Castle; M113 inferred from filename/visual
2026-06-03_merkava_tank_zawtar_al_sharqiyah	2026-06-03_merkava_tank_zawtar_al_sharqiyah	2026-06-03	merkava_tank_zawtar_al_sharqiyah	high	visible title says Merkava tank in Zawtar al-Sharqiyah
2026-06-04_strike_on_merkava_tank	2026-06-04_merkava_tank_beaufort_castle	2026-06-04	merkava_tank_beaufort_castle	high	visible title says Merkava tank near Beaufort Castle
2026-06-04_strike_on_merkava_tank_02	2026-06-04_merkava_tank_beaufort_castle_02	2026-06-04	merkava_tank_beaufort_castle_02	medium	visible title appears same as prior Merkava/Beaufort item; suffix kept to distinguish
2026-06-05_humvee_near_khiam	2026-06-05_humvee_near_khiam	2026-06-05	humvee_near_khiam	medium	visible text indicates Humvee near/at Khiam, mentions guided missiles
2026-06-06_merkava_tank_near_blat	2026-06-06_merkava_tank_blat_position	2026-06-06	merkava_tank_blat_position	high	visible title says Merkava tank at Blat position
2026-06-06_sholef_howitzer_adaissah	2026-06-06_sholef_howitzer_adaissah	2026-06-06	sholef_howitzer_adaissah	medium	visible title says artillery vehicle in Adaissah; Sholef inferred from filename/visual
2026-06-08_strike_near_yahmor_al_shqif	2026-06-08_strike_on_enemy_vehicles_near_yahmor_al_shqif	2026-06-08	strike_on_enemy_vehicles_near_yahmor_al_shqif	medium	visible title says enemy vehicles; location line partly hard to read, filename used for place
2026-06-08_strike_on_command_and_control_vehicle	2026-06-08_command_and_control_vehicle_beaufort_castle	2026-06-08	command_and_control_vehicle_beaufort_castle	high	visible title says command/control vehicle near Beaufort Castle area
2026-06-09_namer_apc_khiam	2026-06-09_namer_apc_metula_southern_outskirts_khiam	2026-06-09	namer_apc_metula_southern_outskirts_khiam	medium	visible title says Namer vehicle; location line appears Metula/southern Khiam area
2026-06-10_humvee_yahmar_al_shaqif	2026-06-10_humvee_yahmar_al_shaqif	2026-06-10	humvee_yahmar_al_shaqif	medium	visible title says military Humvee; exact location line hard to read, filename used
2026-06-10_merkava_tank_beaufort_castle	2026-06-10_merkava_tank_beaufort_castle	2026-06-10	merkava_tank_beaufort_castle	high	visible title says Merkava tank near Beaufort Castle
2026-06-11_merkava_tank_tayr_harfa_ababil_drone	2026-06-11_merkava_tank_tayr_harfa_ababil_drone	2026-06-11	merkava_tank_tayr_harfa_ababil_drone	medium	visible title says Merkava tank in Tayr Harfa; Ababil inferred from filename
2026-06-12_d9_armored_bulldozer_tayr_harfa_ababil_drone	2026-06-12_d9_armored_bulldozer_tayr_harfa_ababil_drone	2026-06-12	d9_armored_bulldozer_tayr_harfa_ababil_drone	medium	title card says D9 bulldozer near Tayr Harfa; Ababil inferred from filename
2026-06-12_merkava_tank_yahmor_al_shqif	2026-06-12_merkava_tank_yahmor_al_shqif	2026-06-12	merkava_tank_yahmor_al_shqif	high	visible title says Merkava tank at outskirts of Yahmor al-Shqif
2026-06-13_excavator_majdal_zoun	2026-06-13_excavator_majdal_zoun	2026-06-13	excavator_majdal_zoun	high	visible title says engineering machine/excavator near Majdal Zoun
XXXX-XX-XX_1_goal_1_31310_gral	XXXX-XX-XX_resistance_strikes_enemy_forces_kfar_kila	XXXX-XX-XX	resistance_strikes_enemy_forces_kfar_kila	low	no readable date; visible title indicates series of strikes against enemy forces, location appears Kfar Kila; date unknown
